publisher,author,primary_isbn10,primary_isbn13,date,contributor,title,weeks_on_list
Wizards of the Coast,R A Salvatore,786958421,9.78E+12,10/23/11,by R. A. Salvatore,NEVERWINTER,0
Penguin Group,"JD Robb, Mary Blayney, Patricia Gaffney, Ruth Ryan Langan and Mary Kay McComas",None,9.78E+12,10/16/11,"by J.D. Robb, Mary Blayney, Patricia Gaffney, Ruth Ryan Langan and Mary Kay McComas",THE UNQUIET,0
Kensington,Fern Michaels,1420125885,9.78E+12,10/16/11,by Fern Michaels,CHRISTMAS AT TIMBERWOODS,0
Hyperion,Richard Castle,1401303919,9.78E+12,10/16/11,by Richard Castle,HEAT RISES,0
Scribner,Stephen King,None,9.78E+12,10/9/11,by Stephen King,MILE 81,0
Random House,Paula McLain,345521323,9.78E+12,10/9/11,by Paula McLain,THE PARIS WIFE,0
Penguin Group,Clive Cussler and Justin Scott,399157816,9.78E+12,10/2/11,by Clive Cussler and Justin Scott,THE RACE,0
St. Martin's,Michael Savage,312651619,9.78E+12,10/2/11,by Michael Savage,ABUSE OF POWER,0
Tom Doherty,David Weber,765321548,9.78E+12,10/2/11,by David Weber,HOW FIRM A FOUNDATION,0
Bethany House,Beverly Lewis,076420601X,9.78E+12,9/25/11,by Beverly Lewis,THE MERCY,0
Random House,Lee Child,None,9.78E+12,9/25/11,by Lee Child,SECOND SON,0
Knopf Doubleday,David Nicholls,307946711,9.78E+12,9/25/11,by David Nicholls,ONE DAY,0
Michael Prescott,Michael Prescott,None,A00B005C50KA8,9/18/11,by Michael Prescott,BLIND PURSUIT,0
St. Martin's,Tom Perrotta,None,9.78E+12,9/18/11,by Tom Perrotta,THE LEFTOVERS,0
Simon & Schuster,Kathy Reichs,1439112800,9.78E+12,9/18/11,by Kathy Reichs,FLASH AND BONES,0
Random House,George R R Martin,553897853,9.78E+12,9/11/11,by George R. R. Martin,A CLASH OF KINGS,0
St. Martin's,Janet Evanovich,312383355,9.78E+12,9/11/11,by Janet Evanovich,WICKED APPETITE,0
Michael Prescott,Michael Prescott,None,A00B00547KH66,9/11/11,by Michael Prescott,STEALING FACES,0
HarperCollins,Daniel Silva,None,9.78E+12,9/4/11,by Daniel Silva,PORTRAIT OF A SPY,0
Dutton,Julie Garwood,None,9.78E+12,9/4/11,by Julie Garwood,THE IDEAL MAN,0
Knopf Doubleday,Abraham Verghese,375714367,9.78E+12,9/4/11,by Abraham Verghese,CUTTING FOR STONE,0
Simon & Schuster,Jennifer Weiner,1451617747,9.78E+12,8/28/11,by Jennifer Weiner,THEN CAME YOU,0
